file,script,total_allocated_bytes,total_allocations,peak_memory
2201_00214_pdf,run_extractous_stream,577745352,13749,416897710
2201_00151_pdf,run_extractous_stream,481881408,13633,352934574
1707_09725_pdf,run_extractous_stream,507492846,14040,365671355
2201_00021_pdf,run_extractous_stream,416133987,13463,308854342
2201_00037_pdf,run_extractous_stream,491426467,13771,355065624
2201_00069_pdf,run_extractous_stream,453936879,13514,334020166
2201_00178_pdf,run_extractous_stream,414883347,13485,307805766
2201_00201_pdf,run_extractous_stream,363471971,13340,275825062
1602_06541_pdf,run_extractous_stream,414713932,13470,307805766
2201_00200_pdf,run_extractous_stream,349342124,13326,266387878
2201_00022_pdf,run_extractous_stream,407967161,13429,303611462
2201_00029_pdf,run_extractous_stream,292861878,2737,231937550
1601_03642_pdf,run_extractous_stream,355626986,13334,270582182
GeoTopo_pdf,run_extractous_stream,544629474,15089,381330214
2201_00214_pdf,run_unstructured,12919300003,37996552,552628373
2201_00151_pdf,run_unstructured,4468303136,11338479,434169509
1707_09725_pdf,run_unstructured,2619656960,5060475,383654040
2201_00021_pdf,run_unstructured,1495751180,2584443,373543688
2201_00037_pdf,run_unstructured,1641204414,2933209,364995537
2201_00069_pdf,run_unstructured,1357880627,2088613,380735112
2201_00178_pdf,run_unstructured,1388773393,2243336,364791463
2201_00201_pdf,run_unstructured,1253828674,1925904,367499329
1602_06541_pdf,run_unstructured,1443260980,2338941,369286041
2201_00200_pdf,run_unstructured,1365660421,2316568,366500345
2201_00022_pdf,run_unstructured,1388496789,2243795,366081900
2201_00029_pdf,run_unstructured,1283170609,2050413,364494143
1601_03642_pdf,run_unstructured,1191289368,1775885,365599065
GeoTopo_pdf,run_unstructured,4707013006,10466588,404532968
2201_00214_pdf,run_pypdf2,7904838031,10812869,278819910
2201_00151_pdf,run_pypdf2,2052954416,2732246,65646517
1707_09725_pdf,run_pypdf2,523723970,678893,25012492
2201_00021_pdf,run_pypdf2,214780892,241738,15814078
2201_00037_pdf,run_pypdf2,249867686,324944,11848298
2201_00069_pdf,run_pypdf2,162769078,107268,37565309
2201_00178_pdf,run_pypdf2,118129543,132768,12440337
2201_00201_pdf,run_pypdf2,90834580,77260,9437321
1602_06541_pdf,run_pypdf2,161648526,163964,14067826
2201_00200_pdf,run_pypdf2,178602993,206581,10942683
2201_00022_pdf,run_pypdf2,107892385,115100,9135469
2201_00029_pdf,run_pypdf2,132925789,162443,8679687
1601_03642_pdf,run_pypdf2,64936433,53405,8912836
GeoTopo_pdf,run_pypdf2,1596341533,2268913,34913948
