file,script,total_allocated_bytes,total_allocations,peak_memory
2022_Q3_AAPL_pdf,run_extractous_stream,337035933,2799,261295174
2022_Q3_AMZN_pdf,run_extractous_stream,424615227,2981,319077668
2022_Q3_INTC_pdf,run_extractous_stream,501525699,3202,351080022
2022_Q3_MSFT_pdf,run_extractous_stream,791493139,6049,516784196
2022_Q3_NVDA_pdf,run_extractous_stream,430672131,2974,323237620
2023_Q1_AAPL_pdf,run_extractous_stream,378706352,2905,288613385
2023_Q1_AMZN_pdf,run_extractous_stream,429408302,2994,322217663
2023_Q1_INTC_pdf,run_extractous_stream,365904090,2989,279083430
2023_Q1_MSFT_pdf,run_extractous_stream,828611557,6830,516346811
2023_Q1_NVDA_pdf,run_extractous_stream,402362279,2938,304364952
2022_Q3_AAPL_pdf,run_unstructured,3269065787,3423895,369447426
2022_Q3_AMZN_pdf,run_unstructured,7483602940,11547171,381774803
2022_Q3_INTC_pdf,run_unstructured,2490044504,4427630,379990374
2022_Q3_MSFT_pdf,run_unstructured,6736487484,17792707,394248162
2022_Q3_NVDA_pdf,run_unstructured,5882331599,9560169,377425342
2023_Q1_AAPL_pdf,run_unstructured,4604297773,6305831,370955176
2023_Q1_AMZN_pdf,run_unstructured,7179916748,11072964,380491665
2023_Q1_INTC_pdf,run_unstructured,1918484164,3618336,371392123
2023_Q1_MSFT_pdf,run_unstructured,6675928835,17584424,400469928
2023_Q1_NVDA_pdf,run_unstructured,5739057659,9507857,375727355
2022_Q3_AAPL_pdf,run_pypdf2,301527180,379201,10325590
2022_Q3_AMZN_pdf,run_pypdf2,1464784827,2186971,16832954
2022_Q3_INTC_pdf,run_pypdf2,457812522,588730,20387721
2022_Q3_MSFT_pdf,run_pypdf2,2331460705,3512396,32830923
2022_Q3_NVDA_pdf,run_pypdf2,1200432865,1777553,15834892
2023_Q1_AAPL_pdf,run_pypdf2,714518437,1013829,13232369
2023_Q1_AMZN_pdf,run_pypdf2,1391934482,2082278,16607399
2023_Q1_INTC_pdf,run_pypdf2,261862365,337018,9863540
2023_Q1_MSFT_pdf,run_pypdf2,2276311638,3404960,34703963
2023_Q1_NVDA_pdf,run_pypdf2,1183266583,1761300,14763824
